UPC,LONG PRODUCT DESCRIPTION,BC CATEGORY,BC SUB CATEGORY,BC SEGMENT,RANDOM WEIGHT,BRAND OWNER HIGH,BASE SIZE,HW ORGANIC,PACK SIZE
201754135555,CTL BR WHT ONN WHL 16 OZ,ONIONS,WHITE,WHOLE,NO,PRIVATE LABEL,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
071731100004,BLND FRM SWT ONN WHL SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,BLAND FARMS LLC,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
200518982660,CTL BR YLW ONN ORGN WHL JMB 1 CT,ONIONS,YELLOW,WHOLE,NO,PRIVATE LABEL,1 COUNT,ORGANIC,NOT APPLICABLE
317582804161,MLTP VL SWT ONN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
003338360184,MLTP VL VDL ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
005149703389,EL TR GRN ONN ORGN CRTF ORGN BY CF WHL BAG 5.5 OZ,ONIONS,GREEN,WHOLE,NO,JV SMITH COMPANIES,5.5 OUNCE,ORGANIC,NOT APPLICABLE
081313394093,MLTP VL YLW ONN ORGN SNGL VGTB 16 OZ,ONIONS,YELLOW,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,ORGANIC,NOT APPLICABLE
003338360153,PRDC ELC ID VDL ONN WHL BAG 80 OZ,ONIONS,SWEET,WHOLE,NO,PRODUCE ELECTRONIC ID BOARD,80 OUNCE,NOT APPLICABLE,NOT APPLICABLE
066785904082,MLTP VL SWT RED ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
002630370186,G & R FRM SWT ONN WHL BAG 96 OZ,ONIONS,SWEET,WHOLE,NO,G & R FARMS,96 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003338360286,MYN SWT ONN WHL PRMM BAG IN SLV 48 OZ,ONIONS,SWEET,WHOLE,NO,"KEYSTONE FRUIT MARKETING,INC.",48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
